Date,Area,Category,Phase
1981-02-17,0.8182,3,0.4091
1981-02-18,0.886,4,0.443
1981-02-19,0.9538,4,0.4769
1981-02-20,0.9785,4,0.5108
1981-02-21,0.9107,4,0.5447
1981-02-22,0.8429,5,0.5785
1981-02-23,0.7752,5,0.6124
1981-02-24,0.7074,5,0.6463
1981-02-25,0.6396,5,0.6802
1981-02-26,0.5718,6,0.7141
1981-02-27,0.5041,6,0.748
1981-02-28,0.4363,7,0.7818
1981-03-01,0.3685,7,0.8157
1981-03-02,0.3008,7,0.8496
1981-03-03,0.233,7,0.8835
1981-03-04,0.1652,7,0.9174
1981-03-05,0.0975,0,0.9513
1981-03-06,0.0297,0,0.9852
1981-03-07,0.0382,0,0.0191
1981-03-08,0.1062,0,0.0531
1981-03-09,0.1742,1,0.0871
1981-03-10,0.2422,1,0.1211
1981-03-11,0.3102,1,0.1551
1981-03-12,0.3782,2,0.1891
1981-03-13,0.4463,2,0.2231
1981-03-14,0.5143,2,0.2571
1981-03-15,0.5823,3,0.2911
1981-03-16,0.6503,3,0.3251
1981-03-17,0.7183,3,0.3591
1981-03-18,0.7863,3,0.3931
1981-03-19,0.8543,3,0.4271
1981-03-20,0.9223,4,0.4612
1981-03-21,0.9903,4,0.4952
1981-03-22,0.9417,4,0.5292
1981-03-23,0.8737,5,0.5632
1981-03-24,0.8057,5,0.5972
1981-03-25,0.7377,5,0.6312
1981-03-26,0.6697,5,0.6652
1981-03-27,0.6016,6,0.6992
1981-03-28,0.5336,6,0.7332
1981-03-29,0.4656,7,0.7672
1981-03-30,0.3976,7,0.8012
1981-03-31,0.3296,7,0.8352
1981-04-01,0.2616,7,0.8692
1981-04-02,0.1936,7,0.9032
1981-04-03,0.1256,7,0.9372
1981-04-04,0.0576,0,0.9712
1981-04-05,0.0104,0,0.0052
1981-04-06,0.0786,0,0.0393
1981-04-07,0.1468,1,0.0734
1981-04-08,0.215,1,0.1075
1981-04-09,0.2832,1,0.1416
1981-04-10,0.3514,1,0.1757
1981-04-11,0.4195,2,0.2098
1981-04-12,0.4877,2,0.2439
1981-04-13,0.5559,3,0.278
1981-04-14,0.6241,3,0.312
1981-04-15,0.6923,3,0.3461
1981-04-16,0.7604,3,0.3802
1981-04-17,0.8286,3,0.4143
1981-04-18,0.8968,4,0.4484
1981-04-19,0.965,4,0.4825
1981-04-20,0.9668,4,0.5166
1981-04-21,0.8986,4,0.5507
1981-04-22,0.8305,5,0.5848
1981-04-23,0.7623,5,0.6189
1981-04-24,0.6941,5,0.653
1981-04-25,0.6259,5,0.687
1981-04-26,0.5577,6,0.7211
1981-04-27,0.4895,6,0.7552
1981-04-28,0.4214,7,0.7893
1981-04-29,0.3532,7,0.8234
1981-04-30,0.285,7,0.8575
1981-05-01,0.2168,7,0.8916
1981-05-02,0.1486,7,0.9257
1981-05-03,0.0805,0,0.9598
1981-05-04,0.0123,0,0.9939
1981-05-05,0.056,0,0.028
1981-05-06,0.1242,0,0.0621
1981-05-07,0.1925,1,0.0962
1981-05-08,0.2607,1,0.1304
1981-05-09,0.329,1,0.1645
1981-05-10,0.3973,2,0.1986
1981-05-11,0.4655,2,0.2328
1981-05-12,0.5338,3,0.2669
1981-05-13,0.602,3,0.301
1981-05-14,0.6703,3,0.3352
1981-05-15,0.7386,3,0.3693
1981-05-16,0.8068,3,0.4034
1981-05-17,0.8751,4,0.4375
1981-05-18,0.9433,4,0.4717
1981-05-19,0.9884,4,0.5058
1981-05-20,0.9201,4,0.5399
1981-05-21,0.8519,5,0.5741
1981-05-22,0.7836,5,0.6082
1981-05-23,0.7154,5,0.6423
1981-05-24,0.6471,5,0.6764
1981-05-25,0.5789,6,0.7106
1981-05-26,0.5106,6,0.7447
1981-05-27,0.4423,7,0.7788
1981-05-28,0.3741,7,0.813
1981-05-29,0.3058,7,0.8471
1981-05-30,0.2376,7,0.8812
1981-05-31,0.1693,7,0.9153
1981-06-01,0.101,0,0.9495
1981-06-02,0.0328,0,0.9836
1981-06-03,0.0355,0,0.0177
1981-06-04,0.1037,0,0.0518
1981-06-05,0.1719,1,0.086
1981-06-06,0.2401,1,0.1201
1981-06-07,0.3084,1,0.1542
1981-06-08,0.3766,2,0.1883
1981-06-09,0.4448,2,0.2224
1981-06-10,0.5131,2,0.2565
1981-06-11,0.5813,3,0.2906
1981-06-12,0.6495,3,0.3248
1981-06-13,0.7177,3,0.3589
1981-06-14,0.786,3,0.393
1981-06-15,0.8542,3,0.4271
1981-06-16,0.9224,4,0.4612
1981-06-17,0.9906,4,0.4953
1981-06-18,0.9411,4,0.5294
1981-06-19,0.8729,5,0.5636
1981-06-20,0.8047,5,0.5977
1981-06-21,0.7364,5,0.6318
1981-06-22,0.6682,5,0.6659
1981-06-23,0.6,6,0.7
1981-06-24,0.5318,6,0.7341
1981-06-25,0.4635,7,0.7682
1981-06-26,0.3953,7,0.8023
1981-06-27,0.3271,7,0.8365
1981-06-28,0.2588,7,0.8706
1981-06-29,0.1906,7,0.9047
1981-06-30,0.1224,0,0.9388
1981-07-01,0.0542,0,0.9729
1981-07-02,0.014,0,0.007
1981-07-03,0.0821,0,0.0411
1981-07-04,0.1502,1,0.0751
1981-07-05,0.2184,1,0.1092
1981-07-06,0.2865,1,0.1432
1981-07-07,0.3546,1,0.1773
1981-07-08,0.4227,2,0.2113
